제목,언론사,날짜,링크,요약
"오세훈 ""서울형 야간경제로 소비 5조원 늘릴 것…골목상권 살린다""",아시아경제,2026-08-20,https://view.asiae.co.kr/article/2026082009214257172,"오세훈 시장, 서울형 야간경제 전략 발표 체육시설 자정까지…문화·여가 체험 확대 DDP·남산·광화문·한강을 랜드마크로 육성 서울시가 야간에도 안전하게 관광을 즐기고 문화·운동·여가 활동을 할 수 있는 '서울형 야간경제'를 본격 추진한다. 동대문디자인플라자(DDP)와 남산, 광화문, 한강을 4대 야간 랜드마크로 육성한다. 이를 통해 2030년까지 야간소비 5..."
치솟는 외식 물가 김밥 한줄 4500원,헤럴드경제,2026-08-20,https://biz.heraldcorp.com/article/10846664?ref=naver,"한국소비자원 가격정보종합포털 참가격에 따르면 지난 6월 주요 외식 품목 가격이 일제히 상승했다. 삼겹살은 4.3%, 칼국수는 3.6%, 냉면과 삼계탕은 각각 2.8%, 비빔밥은 2.7%, 자장면은 2.1% 올랐다. 특히 김밥은 5.9% 상승해 가장 큰 오름폭을 보였다. 사진은 20일 오전 서울 중구 명동거리의 식당 메뉴 간판의 모습. 윤창빈 기자"
독자 AI 모델 2차 평가…업스테이지·SKT·LG 통과,서울경제,2026-08-19,https://www.sedaily.com/article/20080834?ref=naver,"■AI 프리즘 [스타트업 뉴스] ‘현장서 쓰이는 AI’가 승패 갈랐다 기타오 회장 “금융 토큰화 3년내 거대한 파도” 엔비디아, 오픈AI 임대 데이터센터에 보증 제공 ▲ AI 프리즘* 맞춤형 경제 브리핑 * 편집자 주: ‘AI PRISM’(Personalized Report & Insight Summarizing Media)은 한국언론진흥재단의 지원을 받아..."
반도체가 이끈 지역경제… 충북 생산 27.8%↑,파이낸셜뉴스,2026-08-19,http://www.fnnews.com/news/202608191115342032,연합뉴스 [파이낸셜뉴스] 반도체 호황이 2·4분기 지역별 생산의 희비를 갈랐다. 반도체 생산이 활발한 충북·대구는 광공업 생산이 크게 늘어난 반면 전남·서울·대전은 생산이 감소했다. 서비스업에서는 주식시장 활황에 힘입어 서울을 중심으로 생산이 증가했다. 19일 국가데이터처가 발표한 '2·4분기 지역경제동향'에 따르면 올해 2·4분기 전국 광공업 생산은 전년...
치킨·버거·커피 한번에 다 담고 나눠서 시키고 … 요기요선 되네,매일경제,2026-08-19,https://www.mk.co.kr/article/12131293,무료 배달·할인 넘어 … 진화하는 배달앱들 국내 음식배달 시장 폭풍성장 올해 43조원 역대최대 찍을듯 배달앱도 저마다 강점 내세워 다양한 기능으로 소비자 공략 국내 음식배달 시장이 올해도 역대 최대 규모로 성장할 것으로 전망되는 가운데 기존의 무료 배달과 할인 혜택 경쟁을 넘어 각 배달업체들이 저마다의 강점을 살린 기능을 잇따라 선보이며 사용자 경험 차별화...
"이즈피엠피, 문체부 관광AI 국책과제 주관기관 선정… AI관광 기술기업으로 도약",한국경제,2026-08-18,https://www.hankyung.com/article/202608187404O,"사진=방송·영상 로케이션 기반 관광 AI 에이전트 개발로 그려질 모습(AI를 활용하여 제작) / 이즈피엠피 제공 이즈피엠피가 문화체육관광부의 2026년 연구개발사업 신규과제 ‘지역관광 활성화를 위한 방송·영상 로케이션 기반 관광지 AI 에이전트 서비스 기술 개발’에 주관연구개발기관으로 선정됐다고 18일 밝혔다. 이즈피엠피는 솔리데오, 코나아이, 아이웨이, ..."
"경남 강타한 역대급 폭우, 장바구니 물가도 ‘비상’",헤럴드경제,2026-08-18,https://biz.heraldcorp.com/article/10843672?ref=naver,사흘간 거제 900㎜ 이상 물난리 앞서 폭염·가뭄으로 피해 누적 시금치·오이·참돔 가격 오름세 17일 오후 경남 거제시 옥포동 도로가 집중호우로 물에 잠겼다. [연합] [헤럴드경제=강승연 기자] 역대급 폭염·가뭄에 이어 남부 지역을 강타한 기록적 폭우로 농작물 침수 피해가 우려되면서 장바구니 물가 관리에도 비상이 걸렸다. 18일 행정안전부 중앙재난안전대책본...
"드라마 명소, AI가 찾고 예약까지…K-콘텐츠 여행이 쉬워진다",헤럴드경제,2026-08-18,https://biz.heraldcorp.com/article/10843771?ref=naver,"이즈피엠피, 연구기관으로 선정 영상 속 촬영지 자동 인식 지원 맞춤 추천부터 원스톱 자동 예약 향후 3년간 5대 기술 개발 계획 방송·영상 속 장면을 관광지 정보와 연결하는 기술 이미지 [이즈피엠피 제공] [헤럴드경제=김명상 기자] K-드라마 등 방송·영상 속 촬영지를 인공지능(AI)으로 탐색하고 여행 일정 추천과 예약까지 연계하는 관광 플랫폼 개발이 본격..."
"""K콘텐츠 파급력을 골목상권 소비로""…이즈피엠피, 국책과제 주관",머니투데이,2026-08-18,https://www.mt.co.kr/future/2026/08/18/2026081811430058463,"[스타트업에 대한 보다 다양한 기업정보는 유니콘팩토리 빅데이터 플랫폼 '데이터랩' 에서 볼 수 있습니다.] 마이스(MICE, 기업회의·포상관광·컨벤션·전시) 행사 지원 솔루션을 운영하는 이즈피엠피가 문화체육관광부 연구개발 사업의 신규 과제에 주관기관으로 선정됐다고 18일 밝혔다. 이번 과제를 통해 '지역관광 활성화를 위한 방송·영상 로케이션 기반 관광지 A..."
"""불 앞은 덥고 외식은 비싸""…1만원대 '신세계 삼계탕' 불티",머니투데이,2026-08-18,https://www.mt.co.kr/living/2026/08/18/2026081809071022812,신세계푸드 올반 삼계탕 2종./사진제공=신세계푸드 신세계푸드가 자사 올반 삼계탕 간편식 판매량이 21만개를 기록해 전년 동기 대비 21% 늘었다고 18일 밝혔다. 무더위와 고물가가 이어지면서 1만원 내외의 합리적 가격으로 간편하게 즐길 수 있는 삼계탕 가정간편식(HMR)이 인기를 끈 결과라는 설명이다. 신세계푸드에 따르면 여러 개를 한 번에 구매할수록 가격...
줄줄이 오르는 물가에...김밥 4000원 육박,매일경제,2026-08-17,https://www.mk.co.kr/article/12129335,서울 기준 3838원까지 올라 김밥 등 시민들의 체감 외식 물가도 상승하는 가운데 지난 5월 10일 서울의 한 김밥 판매점 가격표. [연합뉴스] 최근 외식 물가가 상승하는 가운데 서울 김밥 한 줄 평균 가격이 4000원에 육박하는 수준까지 올랐다. 17일 한국소비자원 가격정보종합포털 참가격에 따르면 지난 6월 기준 서울 김밥 한 줄 평균 가격은 3838원으...
"임원희, 강릉 와인바 4년만에 매물로…‘자영업 생존법’ 주목",헤럴드경제,2026-08-17,https://biz.heraldcorp.com/article/10843030?ref=naver,배우 임원희. [뉴시스] [헤럴드경제=나은정 기자] 배우 임원희가 4년간 운영해온 강원도 강릉의 한옥 와인바를 매물로 내놨다고 밝혀 주변을 안타깝게 했다. 지난 16일 방송된 SBS 예능 프로그램 ‘미운 우리 새끼’에서는 임원희와 그룹 베이비복스 출신 이희진이 함께 시간을 보내는 모습이 공개됐다. 임원희는 첫 차를 구매하려는 이희진과 함께 중고차 매물을 둘...
"임원희, 한옥 와인바 내놨다…연예인도 피하지 못한 '자영업 한파'",한국경제,2026-08-17,https://www.hankyung.com/article/2026081746847,"임원희 ""오픈 4년만에 매물 내놔"" 자영업자 고충 토로 올 상반기 폐업 62만건 '역대 최대' 임원희 /사진=변성현 한경닷컴 기자 배우 임원희가 자신이 운영해온 강릉 와인바를 매물로 내놓은 사실을 털어놓으며 자영업의 씁쓸한 현실을 보여줬다. 지난 16일 방송된 SBS '미운 우리 새끼' 508회에서는 임원희와 그룹 베이비복스 출신 이희진의 만남이 그려졌다...."
"""매장 비워도 든든해요""… ADT캡스, 청년창업 안심파트너로",매일경제,2026-08-17,https://www.mk.co.kr/article/12129339,"AI CCTV로 고객 응대하고 스마트폰으로 매장 확인 ""울릉도서도 현장 출동 OK"" 1인 가게 외부 일정·휴무 때 운영파트너·보안 '일석이조' ADT캡스 '영비저너리' 시즌3에 출연한 권성준 셰프.  ADT캡스 청년 창업의 고충 중 하나는 업무 공백이다. 직원을 두기 힘든 초기 창업자나 직원 없이 사장이 운영하는 작은 가게의 경우 한 사람이 매장 운영부터 ..."
한국으로 몰려오는 글로벌 거물들…그들이 탐내는 것은,이데일리,2026-08-16,https://www.edaily.co.kr/news/newspath.asp?newsid=01102086645547976,"빌 게이츠 1년 만에 재방한…SMR 공급망 협력 젠슨 황, 지난 6월 한국 방문…피지컬 AI 동맹 확대 올트먼도 지난해 두 차례 방한…AI 인프라 협력 반도체·제조·에너지 갖춘 韓 ‘AI 풀스택 파트너’ [이데일리 조용석 기자] 젠슨 황 엔비디아 최고경영자(CEO), 빌 게이츠 마이크로소프트(MS) 공동창업자, 샘 올트먼 오픈AI CEO 등 글로벌 거물들이..."
"""한 끼 2만원 무서워"" 공포가 된 점심 고민…직장인 다시 몰린 '5000원 구내식당'[핑거푸드]",머니투데이,2026-08-15,https://www.mt.co.kr/living/2026/08/15/2026081414292491519,"[편집자주] 'K푸드', 맛만 있는 건 아닙니다. 식품을 만드는 회사들을 들여다보면 재미있는 스토리도 많습니다. 재미있고 이해하기 쉽게 요리해드립니다. 간편하게 집어드시기만 하세요. [서울=뉴시스] 정병혁 기자 = 19일 서울의 한 구내식당을 찾은 시민들이 점심식사를 하고 있다. 런치플레이션이 장기화되면서 구내식당을 찾은 소비자들이 늘어난 것으로 알려졌다...."
마지막 여름 보양식…외식업계 '든든한 한 끼' 경쟁[트렌드 레시피],파이낸셜뉴스,2026-08-15,http://www.fnnews.com/news/202608141558323611,"높아진 보양식 물가에 배달·포장 인기 도미노피자, 피자 궁합 맞는 치킨박스 출시 맘스터치·bhc도 여름 신메뉴 내고 복날 이벤트 도미노피자 모델로 '리센느'. 도미노피자 제공 [파이낸셜뉴스] 역대급 폭염이 이어진 올여름 외식업계가 '일상 보양식'을 앞세워 막바지 여름 수요를 공략하고 있다. 소비자들은 삼계탕과 장어 등 전통적인 보양식뿐 아니라 치킨과 피자처..."
"""산업보국으로 피어난 나라사랑""…효성, 창업주 애국·애족 정신 3대째 계승",한국경제,2026-08-13,https://magazine.hankyung.com/business/article/202608139956b,효성이 6월 1일 서울 영등포구 굿네이버스 회관에서 이정원 효성 커뮤니케이션실장과 전미선 굿네이버스 사무총장이 참석한 가운데 우즈베키스탄 독립유공자 지원을 위한 기부금을 전달했다. 사진=효성 효성이 창업주부터 현재에 이르기까지 3세대에 걸쳐 호국보훈 활동을 이어오며 나라 사랑에 앞장서고 있다고 13일 밝혔다. 6·10만세운동에 참여했던 고(故) 조홍제 창업...
‘회생 신청’ 놀부 첫 법원 심문… 김용위 대표 “외식 시장 다 어려워”,조선비즈,2026-08-11,https://biz.chosun.com/topics/law_firm/2026/08/11/OBNL43REA5CYFLUNQK4OXHTH3E/?utm_source=naver&utm_medium=original&utm_campaign=biz,"서울 삼성동 놀부 본사 모습. /연합뉴스 기업 회생 절차를 신청한 한식 프랜차이즈 ‘놀부’의 첫 번째 대표자 심문이 종료됐다. 서울회생법원 회생 15부(부장판사 김윤선)는 11일 오후 4시 30분 놀부에 대한 첫 번째 대표자 심문 기일을 열었다. 심문에는 김 대표와 변호인들이 참석했고, 심문은 1시간 15분가량 진행됐다. 김용위 대표는 이날 대표자 심문을 ..."
"외국인 지갑, 서울서 부산으로…해외카드 매출 60% ‘껑충’",서울경제,2026-08-11,https://www.sedaily.com/article/20078089?ref=naver,"해외카드 매출 전국 3위…서울 편중 완화 외식·유통 중심 부산 골목상권 확산 가능성 부산, 서울 집중 벗어나 남부 거점 급부상 국내 전체 해외카드 매출 3년 새 9.6배 급증 상위 1% 쏠림 극복·골목상권 연결은 과제 부산 해운대해수욕장을 찾은 외국인 관광객들이 일광욕을 하며 여름 바다의 정취를 즐기고 있다. 연합뉴스 외국인 관광객의 국내 소비가 폭발적으로..."
"충남도, ‘이달의 청년 창업가’ 선정…청년 창업도전 응원",헤럴드경제,2026-08-11,https://biz.heraldcorp.com/article/10836700?ref=naver,- 우와한 갈비탕 정윤진 대표·정호두 최정호 대표…충남에서 시작한 청년의 아이디어 체계적 지원 충남 이달의 청년사업가로 선정된 브랜드 정호두. [헤럴드경제= 이권형기자] 충남 청년 창업가의 경쟁력 있는 브랜드를 발굴해 체계적인 지원으로 응원하는 ‘이달의 청년 창업가’로 정호두 최정회 대표· 우와한 갈리탕 정윤진대표가 선정됐다. 충남도는 매달 우수 청년 창업...
"“장사 말고 사업을”…매경·편의점통합카페, 다점포 확장 실전 강의 수강생 모집",매일경제,2026-08-11,https://www.mk.co.kr/article/12123698,12개점 다점포·GS리테일 선정 멘토 점주… 편의점 장사고수 출격…노하우 특강 및 상담 편의점 창업과 다점포 확장을 꿈꾸는 예비 창업자·현직 자영업자를 위한 실전 강의가 열린다. 국내 1위 경제주간지 매경이코노미와 편의점 운영 전문 커뮤니티 편의점통합카페가 손잡고 ‘장사 말고 사업을’ 프로그램을 마련했다. 이번 강의는 오는 9월 12일 토요일 오후 1~5시...
"“다 무너지는 줄 알았는데”…지방 상권 살아남은 ‘10곳’의 비밀, 어디길래?",헤럴드경제,2026-08-11,https://biz.heraldcorp.com/article/10837064?ref=naver,"부산 부산진구 서면 중앙대로680번길 일대에 인파와 차량이 뒤섞여 있다. [뉴시스] [헤럴드경제=김주리 기자] 수도권으로 소비가 집중되며 지방 상권의 침체가 이어지는 가운데 부산 서면과 충남 천안 불당, 전북 전주 객리단길 등 일부 지역은 오히려 방문객을 끌어들이며 활기를 이어가고 있는 것으로 나타났다. 전문가들은 지방 상권의 경쟁력을 좌우하는 핵심 요소로..."
"강남구, 예비 창업인·외식업 경영자 35명 모집…중앙대와 경영자 교육",머니투데이,2026-08-11,https://www.mt.co.kr/policy/2026/08/11/2026081111025097846,'외식산업 최고경영자과정' 26기 운영 서울 강남구는 외식업 경영자와 예비 창업인의 실무 역량을 높이기 위해 중앙대학교와 함께 운영하는 '외식산업 최고경영자과정' 제26기 교육생 35명을 모집한다고 11일 밝혔다. /사진제공=서울 강남구청 서울 강남구는 외식업 경영자와 예비 창업인의 실무 역량을 높이기 위해 중앙대학교와 함께 운영하는 '외식산업 최고경영자과...
"""15만원 뿌리고 500만원 더 뜯어가""...자영업 증세?",이데일리,2026-08-11,https://www.edaily.co.kr/news/newspath.asp?newsid=06507526645546336,[이데일리 박지혜 기자] 정부가 지난 3일 발표한 ‘2026 세제 개편안’에 내년부터 개인 사업자의 신용카드 매출에 대한 부가가치세 세액공제 혜택을 축소한다는 내용이 포함됐다. 일부 자영업자들 사이 ‘사실상 증세 조치’라는 반발이 나왔다. 서울시내 식당가 (사진=연합뉴스) 세제 개편안에 따르면 개인 사업자가 신용카드로 받은 매출의 1.3%에 해당하는 액수만...
"""할 게 이것뿐"" 자영업 회전문 도는 사장님들 …폐업 자리에 또 창업",매일경제,2026-08-10,https://www.mk.co.kr/article/12123084,"불황속 재창업 잔혹사 전문성 없어도 개업 쉬운데다 기존설비 활용, 비용축소 착시 상권 분석 없이 묻지마 창업 불황에 음식점 매출 감소세 치킨집 폐업 상반기만 7300곳 세금 못내는 자영업자도 급증 최근 서울 시내 한 고깃집 내부 모습. 식사 시간인데도 손님이 거의 없이 썰렁한 모습이다. 사진은 기사의 특정 내용과 무관. 김재훈 기자 서울 관악구 봉천동의 한..."
벼랑끝 자영업…직원 대신 '가족노동',매일경제,2026-08-10,https://www.mk.co.kr/article/12123148,"무급 가족고용 비중, 음식업종서 48% 역대 최대 ""상호 바꿔서라도 버티자""… 간판갈이 2년새 2배 서울에서 작은 중식당을 운영하는 50대 박 모씨는 최근 아르바이트생 2명을 내보냈다. 대신 대학생 아들과 딸이 식당에 자주 나와 일손을 돕고 있다. 식당 매출은 계속 감소하는데 재료비와 인건비는 해마다 치솟으면서 수익성이 나날이 악화한 탓이다. 박씨는 ""가족..."
돼지고기값 내렸는데…식당 삼겹살 비싼 이유 따로 있었다 [프라이스&],한국경제,2026-08-09,https://www.hankyung.com/article/202608092549i,"임차료와 인건비 등 영향 사진=뉴스1 마트에서 200g에 5000원 남짓인 삼겹살이 식당에 올라가면 2만원을 훌쩍 넘는다. 돼지고기 공급이 늘면서 산지와 소매 가격은 진정되고 있지만 외식 삼겹살 가격은 좀처럼 내려오지 않고 있다. 원육값뿐 아니라 인건비와 임차료, 전기·가스비 등 식당 운영비가 누적 상승한 영향이다. 9일 축산물품질평가원에 따르면 이달 국내..."
지역상권 살릴 해법 바꾼다…지원금 대신 로컬기업 육성,서울경제,2026-08-08,https://www.sedaily.com/article/20077181?ref=naver,■AI 프리즘 [스타트업 뉴스] 성심당·테라로사 같은 앵커기업 육성 충주 구도심 살린 동네 창업가들 ‘자립형 로컬 생태계’ 키워야 ▲ AI 프리즘* 맞춤형 경제 브리핑 * 편집자 주: ‘AI PRISM’(Personalized Report & Insight Summarizing Media)은 한국언론진흥재단의 지원을 받아 개발한 ‘인공지능(AI) 기반 맞춤...
빈집 60%서 12%로…충주 구도심 살린 동네 창업가들,서울경제,2026-08-07,https://www.sedaily.com/article/20077035?ref=naver,"■ 로컬이 다시, 꿈꾸는 나라 지역 정착, 가게만 30곳 들어서 10년 새 유동인구 10배로 늘려 충북 충주시 관아골에서는 원도심 활성화를 위한 다양한 기획을 통해 시민들의 발길을 이끈다. 관아골에 마련된 플리마켓을 찾은 시민들이 다양한 굿즈를 살펴보고 있다. 사진제공=세상상회 10년 전 빈집 비율이 60%에 달했던 충북 충주 관아골. 현재는 행정안전부 조..."
상권 형성→관광객 유입→청년 귀촌…민간주도로 만든 ‘앵커공간’,서울경제,2026-08-04,https://www.sedaily.com/article/20075737?ref=naver,[로컬이 다시 꿈꾸는 나라] 2부. 소멸 공포를 재기 희망으로 ＜2＞ 시골 상권 되살린 창업자 지역 역사·생활 공간에 콘텐츠 입혀 건물 새로 짓지 않고 골목 재개발 담배 가게는 책방…빈집은 호텔로 창업·주민 끌어들여 선순환 만들어 지자체는 정착 지원 등으로 뒷받침 경북 의성 안계미술관처럼 지역 주민과 창업자가 먼저 골목의 가능성을 발견하고 정부와 지방자치단...
석유류 상승세 둔화에 물가 2.8%↑…3달 만에 2%대 진입(종합),머니투데이,2026-08-04,https://www.mt.co.kr/economy/2026/08/05/2026080408032418979,"데이터처, 7월 소비자물가동향 발표 7월 물가 2.8%↑석유류 물가 15.5%↑ 농축수산물 0.9%↑서비스 2.6%↑ 근원물가 2.6%↑…31개월만 최대폭 상승 /사진=(서울=뉴스1) 이호윤 기자 지난달 소비자물가 상승률이 세달 만에 2%대로 떨어졌다. 석유 최고가격 인하로 치솟았던 석유류 가격 상승폭이 줄면서다. 정부의 역대 최대 규모의 할인정책 등 민생..."
휘발유·경유 오름폭 꺾이자…물가 석달 만에 2%대로 내려와,한국경제,2026-08-04,https://www.hankyung.com/article/202608043031i,사진=연합뉴스 지난달 소비자물가 상승률이 석 달 만에 2%대로 내려왔다. 중동 사태로 치솟았던 석유류 가격 상승세가 한풀 꺾인 영향이다. 하지만 일시적 요인을 제외한 근원물가는 2년7개월 만에 가장 큰 폭으로 오르는 등 물가 불안 변수는 여전하다. 국가데이터처가 4일 발표한 ‘7월 소비자물가 동향’에 따르면 지난달 소비자물가지수는 119.77(2020년=1...
폭염에 집콕 일상...코앞 편의점도 배달주문,이데일리,2026-07-30,https://www.edaily.co.kr/news/newspath.asp?newsid=08268886645519768,"극한 더위가 바꾼 소비패턴 근거리 배달, 편의점 새 성장축으로 영화·식사·쇼핑 한 곳서...'몰캉스'↑ 시장은 인적 뚝...신선식품 관리 비상 카페는 과일·유제품 가격 올라 타격 [이데일리 한전진 안소현 김아름 기자] “너무 더워서 외식도 싫어요, 집에서 에어컨 켜고 배달시켜 먹습니다” 서울 상계동에 사는 박 모씨(49)는 1주일에 3~4번은 했던 저녁 외..."
외국인도 서울서 배달앱 쉽게 쓴다…서울시-배민 맞손,이데일리,2026-07-29,https://www.edaily.co.kr/news/newspath.asp?newsid=04126246645519440,국내 휴대전화 인증 없이 주문…해외카드 결제도 지원 '한강 밤핑' 연계 8월 K 배달 문화 체험 캠페인 추진 야간관광 ·미식관광 활성화…골목상권 소비 확대 기대 [이데일리 양지윤 기자] 외국인 관광객의 국내 배달 애플리케이션 이용이 한층 쉬워질 전망이다. 서울시는 배달의민족과 외국인의 배달앱 이용 편의를 개선하는 업무협약을 체결한다고 29일 밝혔다. 그동안...
"외국인도 한강서 배달음식 ‘척척’…서울시, K-배달 문턱 낮춘다",매일경제,2026-07-29,https://www.mk.co.kr/article/12110471,"서울시, 배민과 외국인 배달 편의 개선 국내 번호 없이 주문 가능 해외 발급 카드 결제 지원 한강 관광·상권 활성화 기대 ‘한강밤핑’ 홍보 이미지. [서울시] 외국인 관광객도 국내 휴대전화 번호 없이 배달앱으로 한강에서 치킨이나 떡볶이 등을 주문해 먹는 ‘K-배달’ 문화를 손쉽게 체험할 수 있게 된다. 서울시는 배달의민족과 업무협약을 맺고 외국인 관광객의 ..."
"강북구, ‘서울시 다회용기 배달서비스’ 사업 참여 음식점 모집",헤럴드경제,2026-07-28,https://biz.heraldcorp.com/article/10823345?ref=naver,"“별도 세척·용기 관리 부담 없어” 서울 강북구청 [강북구 제공] [헤럴드경제=신상윤 기자] 서울 강북구는 ‘서울시 다회용기 배달서비스’ 사업을 시작, 사업에 참여할 음식점을 모집한다고 28일 밝혔다. 일회용품 사용을 줄이고 자원순환 문화를 확산하기 위한 취지다. 해당 사업은 배달 음식을 일회용 플라스틱 용기 대신 다회용기에 담아 제공하고, 사용한 용기는 ..."
