상권_코드,행정동_base,제목,언론사,날짜,링크
3000788,목392동,서울 목392동 상권 임대료 동향 분석 결과 16-0,한국경제,2026-06-20,https://hankyung.com/article/160
3000788,목392동,서울 목392동 상권 임대료 동향 분석 결과 16-1,매일경제,2026-05-24,https://mk.co.kr/article/161
3001027,목235동,서울 목235동 상권 임대료 동향 분석 결과 17-0,한국경제,2026-08-20,https://hankyung.com/article/170
3001027,목235동,서울 목235동 상권 임대료 동향 분석 결과 17-1,매일경제,2026-07-27,https://mk.co.kr/article/171
3001021,목229동,서울 목229동 상권 임대료 동향 분석 결과 19-0,한국경제,2026-08-16,https://hankyung.com/article/190
3001231,목43동,서울 목43동 상권 임대료 동향 분석 결과 20-0,한국경제,2026-07-22,https://hankyung.com/article/200
3000041,목41동,서울 목41동 상권 임대료 동향 분석 결과 22-0,한국경제,2026-06-01,https://hankyung.com/article/220
3001084,목292동,서울 목292동 상권 임대료 동향 분석 결과 23-0,한국경제,2026-06-18,https://hankyung.com/article/230
3001084,목292동,서울 목292동 상권 임대료 동향 분석 결과 23-1,매일경제,2026-07-10,https://mk.co.kr/article/231
3000700,목304동,서울 목304동 상권 임대료 동향 분석 결과 25-0,한국경제,2026-07-26,https://hankyung.com/article/250
3000700,목304동,서울 목304동 상권 임대료 동향 분석 결과 25-1,매일경제,2026-07-17,https://mk.co.kr/article/251
3001008,목216동,서울 목216동 상권 임대료 동향 분석 결과 26-0,한국경제,2026-08-08,https://hankyung.com/article/260
3001008,목216동,서울 목216동 상권 임대료 동향 분석 결과 26-1,매일경제,2026-06-19,https://mk.co.kr/article/261
3000311,목311동,서울 목311동 상권 임대료 동향 분석 결과 28-0,한국경제,2026-07-22,https://hankyung.com/article/280
3000311,목311동,서울 목311동 상권 임대료 동향 분석 결과 28-1,매일경제,2026-06-15,https://mk.co.kr/article/281
3000311,목311동,서울 목311동 상권 임대료 동향 분석 결과 28-2,서울경제,2026-06-18,https://sedaily.com/article/282
3000913,목121동,서울 목121동 상권 임대료 동향 분석 결과 29-0,한국경제,2026-07-10,https://hankyung.com/article/290
3000913,목121동,서울 목121동 상권 임대료 동향 분석 결과 29-1,매일경제,2026-05-25,https://mk.co.kr/article/291
3000913,목121동,서울 목121동 상권 임대료 동향 분석 결과 29-2,서울경제,2026-08-06,https://sedaily.com/article/292
3000743,목347동,서울 목347동 상권 임대료 동향 분석 결과 31-0,한국경제,2026-07-17,https://hankyung.com/article/310
3000902,목110동,서울 목110동 상권 임대료 동향 분석 결과 32-0,한국경제,2026-06-10,https://hankyung.com/article/320
3000902,목110동,서울 목110동 상권 임대료 동향 분석 결과 32-1,매일경제,2026-08-18,https://mk.co.kr/article/321
3001195,목7동,서울 목7동 상권 임대료 동향 분석 결과 34-0,한국경제,2026-07-08,https://hankyung.com/article/340
3000982,목190동,서울 목190동 상권 임대료 동향 분석 결과 35-0,한국경제,2026-07-15,https://hankyung.com/article/350
3000395,목395동,서울 목395동 상권 임대료 동향 분석 결과 37-0,한국경제,2026-08-14,https://hankyung.com/article/370
3000862,목70동,서울 목70동 상권 임대료 동향 분석 결과 38-0,한국경제,2026-06-07,https://hankyung.com/article/380
3000862,목70동,서울 목70동 상권 임대료 동향 분석 결과 38-1,매일경제,2026-07-31,https://mk.co.kr/article/381
3000862,목70동,서울 목70동 상권 임대료 동향 분석 결과 38-2,서울경제,2026-06-24,https://sedaily.com/article/382
3000889,목97동,서울 목97동 상권 임대료 동향 분석 결과 40-0,한국경제,2026-06-08,https://hankyung.com/article/400
3000889,목97동,서울 목97동 상권 임대료 동향 분석 결과 40-1,매일경제,2026-06-28,https://mk.co.kr/article/401
3000098,목98동,서울 목98동 상권 임대료 동향 분석 결과 41-0,한국경제,2026-05-24,https://hankyung.com/article/410
3000098,목98동,서울 목98동 상권 임대료 동향 분석 결과 41-1,매일경제,2026-06-14,https://mk.co.kr/article/411
3000098,목98동,서울 목98동 상권 임대료 동향 분석 결과 41-2,서울경제,2026-08-12,https://sedaily.com/article/412
3000910,목118동,서울 목118동 상권 임대료 동향 분석 결과 43-0,한국경제,2026-07-26,https://hankyung.com/article/430
3000910,목118동,서울 목118동 상권 임대료 동향 분석 결과 43-1,매일경제,2026-08-12,https://mk.co.kr/article/431
3000910,목118동,서울 목118동 상권 임대료 동향 분석 결과 43-2,서울경제,2026-07-26,https://sedaily.com/article/432
3000997,목205동,서울 목205동 상권 임대료 동향 분석 결과 44-0,한국경제,2026-06-20,https://hankyung.com/article/440
3000997,목205동,서울 목205동 상권 임대료 동향 분석 결과 44-1,매일경제,2026-06-27,https://mk.co.kr/article/441
3000997,목205동,서울 목205동 상권 임대료 동향 분석 결과 44-2,서울경제,2026-05-28,https://sedaily.com/article/442
3000278,목278동,서울 목278동 상권 임대료 동향 분석 결과 46-0,한국경제,2026-05-30,https://hankyung.com/article/460
3000278,목278동,서울 목278동 상권 임대료 동향 분석 결과 46-1,매일경제,2026-08-11,https://mk.co.kr/article/461
3000278,목278동,서울 목278동 상권 임대료 동향 분석 결과 46-2,서울경제,2026-06-15,https://sedaily.com/article/462
3000867,목75동,서울 목75동 상권 임대료 동향 분석 결과 47-0,한국경제,2026-07-11,https://hankyung.com/article/470
3000867,목75동,서울 목75동 상권 임대료 동향 분석 결과 47-1,매일경제,2026-06-26,https://mk.co.kr/article/471
3000867,목75동,서울 목75동 상권 임대료 동향 분석 결과 47-2,서울경제,2026-08-18,https://sedaily.com/article/472
3000537,목141동,서울 목141동 상권 임대료 동향 분석 결과 49-0,한국경제,2026-07-12,https://hankyung.com/article/490
3000081,목81동,서울 목81동 상권 임대료 동향 분석 결과 50-0,한국경제,2026-08-19,https://hankyung.com/article/500
3000081,목81동,서울 목81동 상권 임대료 동향 분석 결과 50-1,매일경제,2026-06-14,https://mk.co.kr/article/501
3000777,목381동,서울 목381동 상권 임대료 동향 분석 결과 52-0,한국경제,2026-07-20,https://hankyung.com/article/520
3000002,목2동,서울 목2동 상권 임대료 동향 분석 결과 53-0,한국경제,2026-07-20,https://hankyung.com/article/530
3000002,목2동,서울 목2동 상권 임대료 동향 분석 결과 53-1,매일경제,2026-06-28,https://mk.co.kr/article/531
3000002,목2동,서울 목2동 상권 임대료 동향 분석 결과 53-2,서울경제,2026-07-07,https://sedaily.com/article/532
3000546,목150동,서울 목150동 상권 임대료 동향 분석 결과 55-0,한국경제,2026-08-04,https://hankyung.com/article/550
3000546,목150동,서울 목150동 상권 임대료 동향 분석 결과 55-1,매일경제,2026-07-25,https://mk.co.kr/article/551
3000198,목198동,서울 목198동 상권 임대료 동향 분석 결과 56-0,한국경제,2026-07-13,https://hankyung.com/article/560
3000755,목359동,서울 목359동 상권 임대료 동향 분석 결과 58-0,한국경제,2026-07-02,https://hankyung.com/article/580
3000755,목359동,서울 목359동 상권 임대료 동향 분석 결과 58-1,매일경제,2026-07-08,https://mk.co.kr/article/581
3000755,목359동,서울 목359동 상권 임대료 동향 분석 결과 58-2,서울경제,2026-06-30,https://sedaily.com/article/582
3000930,목138동,서울 목138동 상권 임대료 동향 분석 결과 59-0,한국경제,2026-07-08,https://hankyung.com/article/590
3000930,목138동,서울 목138동 상권 임대료 동향 분석 결과 59-1,매일경제,2026-08-18,https://mk.co.kr/article/591
3000077,목77동,서울 목77동 상권 임대료 동향 분석 결과 61-0,한국경제,2026-06-24,https://hankyung.com/article/610
3000077,목77동,서울 목77동 상권 임대료 동향 분석 결과 61-1,매일경제,2026-06-02,https://mk.co.kr/article/611
3001294,목106동,서울 목106동 상권 임대료 동향 분석 결과 62-0,한국경제,2026-07-30,https://hankyung.com/article/620
3001294,목106동,서울 목106동 상권 임대료 동향 분석 결과 62-1,매일경제,2026-07-16,https://mk.co.kr/article/621
3001294,목106동,서울 목106동 상권 임대료 동향 분석 결과 62-2,서울경제,2026-08-18,https://sedaily.com/article/622
3001130,목338동,서울 목338동 상권 임대료 동향 분석 결과 64-0,한국경제,2026-07-24,https://hankyung.com/article/640
3000170,목170동,서울 목170동 상권 임대료 동향 분석 결과 65-0,한국경제,2026-06-01,https://hankyung.com/article/650
3000170,목170동,서울 목170동 상권 임대료 동향 분석 결과 65-1,매일경제,2026-06-01,https://mk.co.kr/article/651
3000170,목170동,서울 목170동 상권 임대료 동향 분석 결과 65-2,서울경제,2026-07-17,https://sedaily.com/article/652
3001017,목225동,서울 목225동 상권 임대료 동향 분석 결과 67-0,한국경제,2026-06-26,https://hankyung.com/article/670
3001017,목225동,서울 목225동 상권 임대료 동향 분석 결과 67-1,매일경제,2026-07-24,https://mk.co.kr/article/671
3000598,목202동,서울 목202동 상권 임대료 동향 분석 결과 68-0,한국경제,2026-07-03,https://hankyung.com/article/680
3000598,목202동,서울 목202동 상권 임대료 동향 분석 결과 68-1,매일경제,2026-08-20,https://mk.co.kr/article/681
3001015,목223동,서울 목223동 상권 임대료 동향 분석 결과 70-0,한국경제,2026-07-08,https://hankyung.com/article/700
3001015,목223동,서울 목223동 상권 임대료 동향 분석 결과 70-1,매일경제,2026-06-05,https://mk.co.kr/article/701
3001015,목223동,서울 목223동 상권 임대료 동향 분석 결과 70-2,서울경제,2026-06-12,https://sedaily.com/article/702
3000837,목45동,서울 목45동 상권 임대료 동향 분석 결과 71-0,한국경제,2026-07-18,https://hankyung.com/article/710
3000425,목29동,서울 목29동 상권 임대료 동향 분석 결과 73-0,한국경제,2026-06-06,https://hankyung.com/article/730
3000425,목29동,서울 목29동 상권 임대료 동향 분석 결과 73-1,매일경제,2026-07-24,https://mk.co.kr/article/731
3001129,목337동,서울 목337동 상권 임대료 동향 분석 결과 74-0,한국경제,2026-07-03,https://hankyung.com/article/740
3000393,목393동,서울 목393동 상권 임대료 동향 분석 결과 76-0,한국경제,2026-08-04,https://hankyung.com/article/760
3001044,목252동,서울 목252동 상권 임대료 동향 분석 결과 77-0,한국경제,2026-08-16,https://hankyung.com/article/770
3001044,목252동,서울 목252동 상권 임대료 동향 분석 결과 77-1,매일경제,2026-07-30,https://mk.co.kr/article/771
3000096,목96동,서울 목96동 상권 임대료 동향 분석 결과 79-0,한국경제,2026-08-01,https://hankyung.com/article/790
3001238,목50동,서울 목50동 상권 임대료 동향 분석 결과 80-0,한국경제,2026-07-21,https://hankyung.com/article/800
3000984,목192동,서울 목192동 상권 임대료 동향 분석 결과 82-0,한국경제,2026-08-07,https://hankyung.com/article/820
3000984,목192동,서울 목192동 상권 임대료 동향 분석 결과 82-1,매일경제,2026-07-10,https://mk.co.kr/article/821
3000984,목192동,서울 목192동 상권 임대료 동향 분석 결과 82-2,서울경제,2026-05-27,https://sedaily.com/article/822
3000734,목338동,서울 목338동 상권 임대료 동향 분석 결과 83-0,한국경제,2026-08-20,https://hankyung.com/article/830
3000954,목162동,서울 목162동 상권 임대료 동향 분석 결과 85-0,한국경제,2026-06-22,https://hankyung.com/article/850
3000471,목75동,서울 목75동 상권 임대료 동향 분석 결과 86-0,한국경제,2026-08-06,https://hankyung.com/article/860
3000471,목75동,서울 목75동 상권 임대료 동향 분석 결과 86-1,매일경제,2026-07-02,https://mk.co.kr/article/861
3000416,목20동,서울 목20동 상권 임대료 동향 분석 결과 88-0,한국경제,2026-07-26,https://hankyung.com/article/880
3000416,목20동,서울 목20동 상권 임대료 동향 분석 결과 88-1,매일경제,2026-05-25,https://mk.co.kr/article/881
3000642,목246동,서울 목246동 상권 임대료 동향 분석 결과 89-0,한국경제,2026-06-05,https://hankyung.com/article/890
3000642,목246동,서울 목246동 상권 임대료 동향 분석 결과 89-1,매일경제,2026-07-25,https://mk.co.kr/article/891
3000642,목246동,서울 목246동 상권 임대료 동향 분석 결과 89-2,서울경제,2026-08-08,https://sedaily.com/article/892
3000256,목256동,서울 목256동 상권 임대료 동향 분석 결과 91-0,한국경제,2026-06-01,https://hankyung.com/article/910
3000801,목9동,서울 목9동 상권 임대료 동향 분석 결과 92-0,한국경제,2026-07-02,https://hankyung.com/article/920
3000613,목217동,서울 목217동 상권 임대료 동향 분석 결과 94-0,한국경제,2026-08-19,https://hankyung.com/article/940
3000613,목217동,서울 목217동 상권 임대료 동향 분석 결과 94-1,매일경제,2026-06-15,https://mk.co.kr/article/941
3001154,목362동,서울 목362동 상권 임대료 동향 분석 결과 95-0,한국경제,2026-08-20,https://hankyung.com/article/950
3001154,목362동,서울 목362동 상권 임대료 동향 분석 결과 95-1,매일경제,2026-07-22,https://mk.co.kr/article/951
3001154,목362동,서울 목362동 상권 임대료 동향 분석 결과 95-2,서울경제,2026-08-02,https://sedaily.com/article/952
3000595,목199동,서울 목199동 상권 임대료 동향 분석 결과 97-0,한국경제,2026-06-26,https://hankyung.com/article/970
3000595,목199동,서울 목199동 상권 임대료 동향 분석 결과 97-1,매일경제,2026-07-04,https://mk.co.kr/article/971
3000524,목128동,서울 목128동 상권 임대료 동향 분석 결과 98-0,한국경제,2026-06-19,https://hankyung.com/article/980
3000524,목128동,서울 목128동 상권 임대료 동향 분석 결과 98-1,매일경제,2026-07-02,https://mk.co.kr/article/981
